2025-12-16 00:50:16.583 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - 📊 Ready to poll task for betting | Bookmaker: SPORTY_BET
2025-12-16 00:50:16.583 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - task polled by SPORTY_BET
2025-12-16 00:50:16.583 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - the polled task is null for SPORTY_BET
2025-12-16 00:50:17.335 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - 📊 Ready to poll task for betting | Bookmaker: SPORTY_BET
2025-12-16 00:50:17.336 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - task polled by SPORTY_BET
2025-12-16 00:50:17.336 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - the polled task is null for SPORTY_BET
2025-12-16 00:50:18.128 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - 📊 Ready to poll task for betting | Bookmaker: SPORTY_BET
2025-12-16 00:50:18.128 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - task polled by SPORTY_BET
2025-12-16 00:50:18.128 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - the polled task is null for SPORTY_BET
2025-12-16 00:50:18.740 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - 📊 Ready to poll task for betting | Bookmaker: SPORTY_BET
2025-12-16 00:50:18.740 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - task polled by SPORTY_BET
2025-12-16 00:50:18.740 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - the polled task is null for SPORTY_BET
2025-12-16 00:50:19.482 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - 📊 Ready to poll task for betting | Bookmaker: SPORTY_BET
2025-12-16 00:50:19.482 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - task polled by SPORTY_BET
2025-12-16 00:50:19.482 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - the polled task is null for SPORTY_BET
2025-12-16 00:50:20.020 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - 📊 Ready to poll task for betting | Bookmaker: SPORTY_BET
2025-12-16 00:50:20.020 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - task polled by SPORTY_BET
2025-12-16 00:50:20.020 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - the polled task is null for SPORTY_BET
2025-12-16 00:50:20.591 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - 📊 Ready to poll task for betting | Bookmaker: SPORTY_BET
2025-12-16 00:50:20.591 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - task polled by SPORTY_BET
2025-12-16 00:50:20.591 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - the polled task is null for SPORTY_BET
2025-12-16 00:50:21.438 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - 📊 Ready to poll task for betting | Bookmaker: SPORTY_BET
2025-12-16 00:50:21.439 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - task polled by SPORTY_BET
2025-12-16 00:50:21.439 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - the polled task is null for SPORTY_BET
2025-12-16 00:50:21.990 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - 📊 Ready to poll task for betting | Bookmaker: SPORTY_BET
2025-12-16 00:50:21.990 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - task polled by SPORTY_BET
2025-12-16 00:50:21.990 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - the polled task is null for SPORTY_BET
2025-12-16 00:50:22.579 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - 📊 Ready to poll task for betting | Bookmaker: SPORTY_BET
2025-12-16 00:50:22.579 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - task polled by SPORTY_BET
2025-12-16 00:50:22.579 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - the polled task is null for SPORTY_BET
2025-12-16 00:50:23.472 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - 📊 Ready to poll task for betting | Bookmaker: SPORTY_BET
2025-12-16 00:50:23.472 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - task polled by SPORTY_BET
2025-12-16 00:50:23.472 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - the polled task is null for SPORTY_BET
2025-12-16 00:50:24.177 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - 📊 Ready to poll task for betting | Bookmaker: SPORTY_BET
2025-12-16 00:50:24.177 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - task polled by SPORTY_BET
2025-12-16 00:50:24.177 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - the polled task is null for SPORTY_BET
2025-12-16 00:50:24.897 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - 📊 Ready to poll task for betting | Bookmaker: SPORTY_BET
2025-12-16 00:50:24.897 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - task polled by SPORTY_BET
2025-12-16 00:50:24.897 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - the polled task is null for SPORTY_BET
2025-12-16 00:50:25.740 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - 📊 Ready to poll task for betting | Bookmaker: SPORTY_BET
2025-12-16 00:50:25.740 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - task polled by SPORTY_BET
2025-12-16 00:50:25.740 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - the polled task is null for SPORTY_BET
2025-12-16 00:50:26.269 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - 📊 Ready to poll task for betting | Bookmaker: SPORTY_BET
2025-12-16 00:50:26.269 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - task polled by SPORTY_BET
2025-12-16 00:50:26.269 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - the polled task is null for SPORTY_BET
2025-12-16 00:50:26.922 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - 📊 Ready to poll task for betting | Bookmaker: SPORTY_BET
2025-12-16 00:50:26.922 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - task polled by SPORTY_BET
2025-12-16 00:50:26.922 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - the polled task is null for SPORTY_BET
2025-12-16 00:50:27.833 [BettingWindow-1] INFO  com.mouse.bet.window.SportyWindow - 📊 Ready to poll task for betting | Bookmaker: SPORTY_BET
