2025-12-13 18:13:44.689 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - task polled by M_SPORT
2025-12-13 18:13:44.689 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - the polled task is null for M_SPORT
2025-12-13 18:13:45.364 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - 📊 Ready to poll task for betting | Bookmaker: M_SPORT
2025-12-13 18:13:45.364 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - task polled by M_SPORT
2025-12-13 18:13:45.364 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - the polled task is null for M_SPORT
2025-12-13 18:13:45.900 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - 📊 Ready to poll task for betting | Bookmaker: M_SPORT
2025-12-13 18:13:45.900 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - task polled by M_SPORT
2025-12-13 18:13:45.900 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - the polled task is null for M_SPORT
2025-12-13 18:13:46.533 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - 📊 Ready to poll task for betting | Bookmaker: M_SPORT
2025-12-13 18:13:46.533 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - task polled by M_SPORT
2025-12-13 18:13:46.533 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - the polled task is null for M_SPORT
2025-12-13 18:13:47.159 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - 📊 Ready to poll task for betting | Bookmaker: M_SPORT
2025-12-13 18:13:47.159 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - task polled by M_SPORT
2025-12-13 18:13:47.159 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - the polled task is null for M_SPORT
2025-12-13 18:13:47.969 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - 📊 Ready to poll task for betting | Bookmaker: M_SPORT
2025-12-13 18:13:47.969 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - task polled by M_SPORT
